infinitive,1p_sing,2p_sing,3p_sing,1p_plur,2p_plur,3p_plur,definition
мовчати,мовчу,мовчиш,мовчить,мовчимо,мовчите,мовчать,to be silent; to keep quiet
відповідати,відповідаю,відповідаєш,відповідає,відповідаємо,відповідаєте,відповідають,"to answer, to respond"
відати,відаю,відаєш,відає,відаємо,відаєте,відають,to know
повідати,повідаю,повідаєш,повідає,повідаємо,повідаєте,повідають,"to tell, to recount"
схвалювати,схвалюю,схвалюєш,схвалює,схвалюємо,схвалюєте,схвалюють,to approve
старіти,старію,старієш,старіє,старіємо,старієте,старіють,"to age, to get old, to grow old"
боятися,боюсь,боішся,боіться,боімось,боітесь,бояться,"to fear, to be afraid"
пекти,печу,печеш,пече,печемо,печете,печуть,"to bake (e.g., bread, cakes, biscuits, sweets and similar food; by contrast, готувати is a more generic ""to cook"")"
полоти,полю,полеш,поле,полемо,полете,полють,"to weed, to weed out, to pull up (weeds)"
повзти,повзу,повзеш,повзе,повземо,повзете,повзуть,"to creep, to crawl"
вмирати,вмираю,вмираєш,вмирає,вмираємо,вмираєте,вмирають,Alternative form of умира́ти (umyráty): to die
посміхатися,посміхаюсь,посміхаєшся,посміхається,посміхаємось,посміхаєтесь,посміхаються,to smile ironically or skeptically.
літати,літаю,літаєш,літає,літаємо,літаєте,літають,to fly
бігати,бігаю,бігаєш,бігає,бігаємо,бігаєте,бігають,to run
бігти,біжу,біжиш,біжить,біжимо,біжите,біжать,to run
стояти,стою,стоіш,стоіть,стоімо,стоіте,стоять,to stand
різати,ріжу,ріжеш,ріже,ріжемо,ріжете,ріжуть,"to cut, to slice, to carve"
горіти,горю,гориш,горить,горимо,горите,горять,to burn (to be consumed by fire)
вбивати,вбиваю,вбиваєш,вбиває,вбиваємо,вбиваєте,вбивають,"Alternative form of убива́ти (ubyváty): to kill, to murder"
убивати,убиваю,убиваєш,убиває,убиваємо,убиваєте,убивають,"to kill, to murder"
сідати,сідаю,сідаєш,сідає,сідаємо,сідаєте,сідають,to sit down
сміятися,сміюсь,смієшся,сміється,сміємось,смієтесь,сміються,to laugh
рахувати,рахую,рахуєш,рахує,рахуємо,рахуєте,рахують,"to count, to calculate"
коштувати,коштую,коштуєш,коштує,коштуємо,коштуєте,коштують,to cost
терпіти,терплю,терпиш,терпить,терпимо,терпите,терплять,"to endure, to suffer, to tolerate, to stand"
жарити,жарю,жариш,жарить,жаримо,жарите,жарять,"to roast, to fry, to broil, to grill"
висіти,вишу,висиш,висить,висимо,висите,висять,"to hang, to be suspended"
лізти,лізу,лізеш,лізе,ліземо,лізете,лізуть,"to climb (up, on to), to scramble"
шептати,шепчу,шепчеш,шепче,шепчемо,шепчете,шепчуть,to whisper
стріляти,стріляю,стріляєш,стріляє,стріляємо,стріляєте,стріляють,"to shoot, to fire"
володіти,володію,володієш,володіє,володіємо,володієте,володіють,"to own, to possess, to be master of, to be in possession of"
вираховувати,вираховую,вираховуєш,вираховує,вираховуємо,вираховуєте,вираховують,to calculate (precisely)
